"id","archetype","description"
1,"Protagonist",""
2,"Antagonist",""
3,"Sidekick",""
4,"Skeptic",""
5,"Reason",""
6,"Emotion",""
7,"Guardian",""
8,"Contagonist",""
9,"Speaker",
