"id","genre"
1,"biography"
2,"archive"
3,"chronicle"
4,"drama"
5,"essay"
6,"fiction"
7,"hand script"
8,"historiography"
9,"letter"
10,"newspaper"
11,"novel"
12,"oral"
13,"pedigree"
14,"petition"
15,"poetry"
16,"political"
17,"report"
18,"speech"
19,"study"
