"id","storypoint","throughline","type1","type2"
1,"MC Resolve",4,1,1
2,"MC Growth",4,1,1
3,"MC Approach",4,1,1
4,"MC PS style",4,1,1
5,"IC Resolve",3,1,1
6,"OS Driver",1,1,1
7,"OS Limit",1,1,1
8,"OS Outcome",1,1,1
9,"OS Judgement",1,1,1
