"id","author","bibliography","transcript","token_sequence","token","story","story_character","character_element","character_elem_value","agent","code","comment"
1,367,222,6,9003567,9003567,1,1,20,0,1,4,
2,367,222,6,9003405,9003405,1,1,10,0,1,3,
